,chembl_id,value,smiles
145,CHEMBL1771702,80.4,O=C(O)c1cn(Cc2ccc3c(c2)OCCO3)c2cccc(F)c2c1=O
146,CHEMBL1771703,67.6,O=C(O)c1cn(Cc2ccc3c(c2)CCC3O)c2cccc(F)c2c1=O
147,CHEMBL1771784,99.6,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2c(F)cccc2c1=O
148,CHEMBL1771785,100.0,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2c(F)ccc(F)c2c1=O
149,CHEMBL1771789,76.5,Cn1cc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc2n1
150,CHEMBL1771790,88.3,Cn1ncc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc21
151,CHEMBL1771791,65.9,O=C(O)c1cn(Cc2ccc3[nH]ncc3c2)c2cccc(F)c2c1=O
152,CHEMBL1774353,86.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)C(C)(C)OC3)cc1
153,CHEMBL1774354,98.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)C(C)(C)OC3=O)cc1
154,CHEMBL1774355,72.0,C[C@H]1COCCN1c1nc(-c2ccc(NC(=O)NCCO)cc2)nc2c1COC2(C)C
155,CHEMBL1774360,98.0,C[C@H]1COCCN1c1nc(-c2ccc(Nc3cccc(=O)[nH]3)cc2)nc2c1COC2(C)C
156,CHEMBL1774363,87.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CCO)OC3)cc1
157,CHEMBL1774364,78.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CCO)OC3)cc1
158,CHEMBL1774365,73.0,CCNC(=O)Nc1ccc(-c2nc(N3C[C@H]4CC[C@@H](C3)O4)c3c(n2)[C@](C)(CCO)OC3)cc1
159,CHEMBL1774366,86.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CCO)OC3)cc1
160,CHEMBL1774371,59.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CCN(C)C)OC3)cc1
161,CHEMBL1774379,82.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1
162,CHEMBL1774380,77.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1
163,CHEMBL1774381,66.0,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@@](C)(CC(C)(C)O)OC3)cc1
164,CHEMBL1778764,93.0,O=C(O)[C@@H]1C[C@H](Oc2cccc(Cl)c2)CN1
165,CHEMBL1778766,27.0,Cl.O=C(O)[C@@H]1C[C@H](Cc2cccc(F)c2)CN1
166,CHEMBL1778767,83.0,O=C(O)[C@@H]1C[C@H](OCc2ccc(Cl)cc2)CN1
167,CHEMBL1778769,68.0,O=C(O)[C@@H]1C[C@H](COc2cccc(F)c2)CN1
168,CHEMBL1778785,93.0,Cl.O=C(O)[C@@H]1C[C@H](Oc2cccc(Cl)c2)CN1
169,CHEMBL1778788,89.0,O=C(O)[C@@H]1C[C@H](Oc2ccc3c(c2)OCC3)CN1
170,CHEMBL1778873,95.0,O=C(O)[C@@H]1C[C@H](Oc2ccc(Cl)c(F)c2)CN1
171,CHEMBL1778875,84.0,O=C(O)[C@@H]1C[C@H](Sc2cccc(Cl)c2)CN1
172,CHEMBL178126,97.1,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(C(=O)O)cc21
173,CHEMBL1783734,50.0,CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl
174,CHEMBL179069,93.0,COc1ccc([C@@H](CCC[C@H](O)CCc2ccc3c(n2)NCCC3)CC(=O)O)cn1
175,CHEMBL1794068,97.7,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
176,CHEMBL1794069,97.9,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
177,CHEMBL1794070,91.5,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
178,CHEMBL1800284,78.3,COc1ccnc(C2(C#N)CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)c1
179,CHEMBL1800285,70.9,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
180,CHEMBL1800879,89.9,N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
181,CHEMBL1800881,94.5,N#CC1(c2ccccc2F)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
182,CHEMBL1800884,96.2,Cc1ccccc1C1(C#N)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
183,CHEMBL1800885,95.2,Cc1cccc(C2(C#N)CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)c1
184,CHEMBL1800887,63.9,N#CC1(c2cccnc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1
185,CHEMBL1800890,76.5,Cc1ccnc(C2(C#N)CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)c1
